Name,Mac Address
C-ATRIUM-1.d211.org,186472c72344
C-ATRIUM-2.d211.org,186472c722ba
C-ATRIUM-2N.d211.org,186472c77bba
C-ATRIUM-2S.d211.org,186472c72350
C-ATRIUM-N.d211.org,186472c7f066
C-ATRIUM-S.d211.org,186472c7f182
C-AUD-A1.d211.org,186472c7f0cc
C-AUD-A10.d211.org,186472c7f180
C-AUD-A2.d211.org,186472c7ee8a
C-AUD-A3.d211.org,186472c7f094
C-AUD-A4.d211.org,186472c7f1a2
C-AUD-A5.d211.org,186472c7f1e8
C-AUD-A6.d211.org,186472c7f1de
C-AUD-A7.d211.org,186472c71966
C-AUD-A8.d211.org,186472c71970
C-AUD-A9.d211.org,186472c7f20a
C-AUD-BACKSTAGE-CAGE.d211.org,186472c7d2f2
C-AUD-EXT-STAIRWELL.d211.org,186472c7ee6c
C-AUD-MENSROOM.d211.org,186472c77de4
C-AUD-SEC-A.d211.org,186472c77d50
C-AUD-SEC-C.d211.org,186472c77d16
C-AUDS.d211.org,186472c77958
C-AVCOMPUTERLAB.d211.org,186472c7f20e
C-CAFE -2.d211.org,186472c7ef42
C-CAFE-1.d211.org,186472c7f0a0
C-CAFE-3.d211.org,186472c7f04e
C-CAFE-5.d211.org,186472c7f1a0
C-CAFE-KITCHEN.d211.org,186472c7f1f2
C-COFFEESHOP.d211.org,186472c74fcc
C-FCSOFF.d211.org,186472c7f0b6
C-GYMSHELF.d211.org,186472c77dda
C-H-112 Mens Room.d211.org,186472c7f1a8
C-H-112.d211.org,186472c7f0be
C-H-116.d211.org,186472c791d8
C-H-124.d211.org,186472c74e3e
C-H-168.d211.org,186472c77cd0
C-H-170.d211.org,186472c74ee2
C-H-179B.d211.org,186472c792ce
C-H-180.d211.org,186472c7f210
C-H-185.d211.org,186472c793a4
C-H-186.d211.org,186472c7d2e2
C-H-204.d211.org,186472c74eaa
C-H-208.d211.org,186472c77dba
C-H-212.d211.org,186472c7f1e2
C-H-214A.d211.org,186472c77d44
C-H-214C.d211.org,186472c77df8
C-H-218.d211.org,186472c7f19c
C-H-223.d211.org,186472c7f1f8
C-H-225.d211.org,186472c77d9c
C-H-227.d211.org,186472c7ef46
C-H-230.d211.org,186472c7f14a
C-H-231.d211.org,186472c7227a
C-H-234.d211.org,186472c722e6
C-H-243.d211.org,186472c77c9a
C-H-247.d211.org,186472c77d96
C-H-280.d211.org,186472c79132
C-H-283.d211.org,186472c77b96
C-H-ARTSTAIRS.d211.org,186472c7230a
C-H-ASSISTPRINCIPAL.d211.org,186472c789a0
C-H-AUD-1.d211.org,186472c77bb4
C-H-AUD-2.d211.org,186472c77b94
C-H-BLOCKERRM.d211.org,186472c791e4
C-H-DOOR1.d211.org,186472c7ef8a
C-H-DOOR25ENTRY.d211.org,186472c7d2f8
C-H-EQUIPRM.d211.org,186472c7d2a4
C-H-FRNTOFFLOUNGE.d211.org,186472c7cff4
C-H-IDFE-ATRIUM/SCIENCE HALL.d211.org,186472c7d2fc
C-H-IDFF-STAIRWELL NW.d211.org,186472c7f166
C-H-MATHOFF HALL.d211.org,186472c7eb1c
C-H-MEDIA-ENTRANCE.d211.org,186472c7f19e
C-H-SCI-RAMP1.d211.org,186472c7f1c6
C-H-SCI-RAMP2.d211.org,186472ccc9a8
C-H-STATE&MADISON.d211.org,186472c7f1a4
C-H-STUDNTSRVCES.d211.org,186472c7cd46
C-IDFA.d211.org,186472c7efaa
C-IDFB.d211.org,186472ccc980
C-IDFC.d211.org,186472c7d2fa
C-IDFD-WOODS.d211.org,186472c7eb56
C-IDFE-MR1ST FLOOR.d211.org,186472c718ce
C-IDFE.d211.org,186472c77d38
C-IDFF-MR.d211.org,186472c7f1b2
C-IDFF.d211.org,186472c7d30a
C-IDFG-SW1.d211.org,186472c7f06c
C-IDFG-SW3.d211.org,186472c7ef40
C-IDFI.d211.org,186472c77dfe
C-MAINGYMNE.d211.org,186472c77dbe
C-MAINGYMNW.d211.org,186472c77d28
C-MAINGYMSW.d211.org,186472c77dd4
C-MATHOFF-LADIESROOM.d211.org,186472c7f0e6
C-MATHOFF.d211.org,186472c77d34
C-MATHOFFICE2.d211.org,186472c7ef58
C-MDF.d211.org,186472ccc26e
C-MEDIA-1.d211.org,186472c7d332
C-MEDIA-2.d211.org,186472c7f0ba
C-MEDIA-3.d211.org,186472c7f1e6
C-MEDIA-4.d211.org,186472c7f218
C-MEDIA-5.d211.org,186472c7d2fe
C-MEDIA-6.d211.org,186472c7d334
C-MEDIA-7.d211.org,186472c7f18c
C-MEDIA-8.d211.org,186472ccbe40
C-MG-1.d211.org,9c1c12c046b2
C-MG-10.d211.org,9c1c12c04698
C-MG-11.d211.org,9c1c12c03e02
C-MG-12.d211.org,9c1c12c046a0
C-MG-13.d211.org,9c1c12c046b0
C-MG-14.d211.org,9c1c12c04690
C-MG-15.d211.org,94b40fc2390a
C-MG-16.d211.org,9c1c12c0465a
C-MG-17.d211.org,9c1c12c0467c
C-MG-18.d211.org,9c1c12c0469a
C-MG-19.d211.org,9c1c12c0464c
C-MG-2.d211.org,9c1c12c0470a
C-MG-20.d211.org,9c1c12c046a2
C-MG-3.d211.org,9c1c12c04648
C-MG-4.d211.org,9c1c12c046a4
C-MG-5.d211.org,9c1c12c046b6
C-MG-6.d211.org,9c1c12c046b8
C-MG-7.d211.org,9c1c12c046fe
C-MG-8.d211.org,9c1c12c0469e
C-MG-9.d211.org,9c1c12c04678
C-NG-10.d211.org,9c1c12c046f8
C-NG-2.d211.org,9c1c12c046ac
C-NG-5.d211.org,9c1c12c046d8
C-NG-6.d211.org,9c1c12c0468e
C-NG-9.d211.org,9c1c12c046dc
C-NGYMNASTICS.d211.org,186472c77c7a
C-OD-103.d211.org,9c1c12c04636
C-OD-105.d211.org,9c1c12c0471a
C-OD-128.d211.org,9c1c12c046e8
C-OD-169.d211.org,9c1c12c04780
C-OD-177.d211.org,9c1c12c046e0
C-OD-286.d211.org,9c1c12c0477a
C-OD-AUTO.d211.org,9c1c12c04714
C-OD-AUTOSE.d211.org,94b40fc0ec0a
C-OD-EAUD.d211.org,9c1c12c04728
C-OD-FCAFE.d211.org,9c1c12c046de
C-OD-MUSIC.d211.org,94b40fc0ebd0
C-OD-NGYM.d211.org,9c1c12c0476a
C-OD-NGYME.d211.org,94b40fc0eb4c
C-OD-NGYMN.d211.org,94b40fc0ec66
C-OD-PB-E.d211.org,9c1c12c0477c
C-OD-PB-N.d211.org,9c1c12c04700
C-OD-PB-NE.d211.org,9c1c12c04716
C-OD-PB-NW.d211.org,9c1c12c0463e
C-OD-PB-S.d211.org,9c1c12c04646
C-OD-PB-SE.d211.org,9c1c12c04650
C-OD-PB-SW.d211.org,9c1c12c046e4
C-OD-POOLN.d211.org,94b40fc0e7a4
C-OD-POOLNW.d211.org,94b40fc0e79c
C-OD-POOLW.d211.org,94b40fc0ed52
C-OD-WOODS.d211.org,94b40fc0ec64
C-PBLEACHER1.d211.org,186472cccca6
C-PBLEACHER2.d211.org,186472ccc98a
C-PBLEACHER3.d211.org,186472ccc9c2
C-PBLEACHER4.d211.org,186472ccc96e
C-PBOYSLOCKERRM.d211.org,186472cccc64
C-PBOYSRESTROOM.d211.org,186472ccc638
C-PGIRLSLOCKERRM.d211.org,186472ccc684
C-PGIRLSRESTROOM.d211.org,186472ccc670
C-PLOCKERENTRANCE.d211.org,186472cccc5e
C-POOLENTRANCE.d211.org,186472cccc0c
C-POOLOFFICE.d211.org,186472ccc64e
C-POOLRESTROOM.d211.org,186472ccca60
C-POOLWINGSTAIRS.d211.org,186472c77cc2
C-R-107.d211.org,186472c722dc
C-R-108x.d211.org,186472c77db0
C-R-109.d211.org,186472c7f09c
C-R-110.d211.org,186472c77e08
C-R-111.d211.org,186472c7f18a
C-R-112.d211.org,186472c7f186
C-R-113.d211.org,186472c72324
C-R-114.d211.org,186472c7f0c0
C-R-116.d211.org,186472c7f1b8
C-R-117.d211.org,186472c77db2
C-R-118X.d211.org,186472c77dbc
C-R-119X.d211.org,186472c77dea
C-R-120.d211.org,186472c7f1ae
C-R-121.d211.org,186472c77db6
C-R-122.d211.org,186472c7f1f6
C-R-123.d211.org,186472c7f1ac
C-R-124-ENG-OFFICE.d211.org,186472c793ea
C-R-125.d211.org,186472c77cb8
C-R-126.d211.org,186472c7f18e
C-R-127.d211.org,186472c7f1aa
C-R-127x.d211.org,186472c7f132
C-R-128N.d211.org,186472c793ca
C-R-129.d211.org,186472c7196e
C-R-132.d211.org,186472c7d272
C-R-133.d211.org,186472c77cc4
C-R-134.d211.org,186472c77dd8
C-R-135.d211.org,186472c7194c
C-R-136.d211.org,186472c7f118
C-R-138.d211.org,186472c77cbe
C-R-139.d211.org,186472c7f1e4
C-R-140.d211.org,186472c7f19a
C-R-141.d211.org,186472c7186e
C-R-142.d211.org,186472c7f1e0
C-R-143.d211.org,186472c77d7a
C-R-144X.d211.org,186472c77d32
C-R-145.d211.org,186472c7f0ac
C-R-145X.d211.org,186472c722c4
C-R-146.d211.org,186472c77de2
C-R-147.d211.org,186472c7f220
C-R-148.d211.org,186472c77d24
C-R-151.d211.org,186472c77cae
C-R-158.d211.org,186472c77cd2
C-R-160.d211.org,186472c7f1d6
C-R-169.d211.org,186472c7234a
C-R-170.d211.org,186472c72352
C-R-171N.d211.org,186472c7f1d2
C-R-172.d211.org,186472c7f1dc
C-R-173.d211.org,186472c77ccc
C-R-174.d211.org,186472c77cb4
C-R-175.d211.org,186472c77cbc
C-R-176.d211.org,186472c77dde
C-R-177.d211.org,186472c77cca
C-R-178.d211.org,186472c77b9c
C-R-179.d211.org,186472c77dac
C-R-180.d211.org,186472c77dfa
C-R-181.d211.org,186472c7ee60
C-R-182.d211.org,186472c7f1f4
C-R-183.d211.org,186472c7f09e
C-R-184.d211.org,186472c77d48
C-R-185.d211.org,186472c77e10
C-R-186.d211.org,186472c77d1c
C-R-201.d211.org,186472c77dd6
C-R-202XN.d211.org,186472c77ddc
C-R-203.d211.org,186472c77dc8
C-R-204.d211.org,186472c7f0e4
C-R-205N.d211.org,186472c77d7c
C-R-205SW.d211.org,186472c7f184
C-R-206N.d211.org,186472c77dc2
C-R-207.d211.org,186472c7f040
C-R-208.d211.org,186472c7f1a6
C-R-209.d211.org,186472c77d26
C-R-210.d211.org,186472c77df6
C-R-211.d211.org,186472c77d94
C-R-212.d211.org,186472c7ece8
C-R-213.d211.org,186472c77daa
C-R-216.d211.org,186472c74e28
C-R-217.d211.org,186472c77dd2
C-R-218.d211.org,186472c718da
C-R-219.d211.org,186472c7f126
C-R-220.d211.org,186472c7f1ce
C-R-221.d211.org,186472c77dcc
C-R-222.d211.org,186472c77d06
C-R-223.d211.org,186472c74efa
C-R-224X.d211.org,186472c77db4
C-R-225.d211.org,186472c77d88
C-R-226.d211.org,186472c74e36
C-R-227.d211.org,186472c74e16
C-R-228.d211.org,186472c77da4
C-R-229N.d211.org,186472c77dc4
C-R-230.d211.org,186472c74e62
C-R-231N.d211.org,186472c77dc6
C-R-232.d211.org,186472c7f0c2
C-R-233.d211.org,186472c722ec
C-R-234x.d211.org,186472c722e2
C-R-235.d211.org,186472c7f190
C-R-236.d211.org,186472c7f054
C-R-237.d211.org,186472c722e8
C-R-238.d211.org,186472c7eb1e
C-R-239.d211.org,186472c77bb6
C-R-240N.d211.org,186472c77cf8
C-R-241N.d211.org,186472c77c74
C-R-242.d211.org,186472c77bc6
C-R-243.d211.org,186472c7f050
C-R-244N.d211.org,186472c77d8a
C-R-245.d211.org,186472c7f0b8
C-R-246.d211.org,186472c77dca
C-R-247.d211.org,186472c7f204
C-R-248.d211.org,186472c77da0
C-R-249.d211.org,186472c7eb54
C-R-250.d211.org,186472c7f074
C-R-251N.d211.org,186472c77d9a
C-R-253.d211.org,186472c7eb4e
C-R-255.d211.org,186472ccc280
C-R-279.d211.org,186472c7f13e
C-R-280.d211.org,186472c791ea
C-R-281.d211.org,186472c791b2
C-R-282.d211.org,186472c7f152
C-R-283.d211.org,186472c77b76
C-R-284.d211.org,186472c791ec
C-R-285.d211.org,186472c77ba6
C-R-286.d211.org,186472c7f1ea
C-R-A168.d211.org,186472c7f228
C-R-ARTOFFICE.d211.org,186472c7f068
C-R-ATHDIROFF.d211.org,186472c77b72
C-R-AUD?.d211.org,186472c7f214
C-R-AUDW.d211.org,186472c77d3a
C-R-BLUETEAM.d211.org,186472c77e14
C-R-BLUETEAMCONF.d211.org,186472c722fe
C-R-CAFE-E.d211.org,186472c7d2ee
C-R-CAFE-SE.d211.org,186472c7f1fa
C-R-CAFE-SW.d211.org,186472c7f212
C-R-CAFE-W.d211.org,186472c791c2
C-R-COACHOFFB.d211.org,186472c77d2c
C-R-COACHOFFG.d211.org,186472c71936
C-R-DOCK.d211.org,186472c7d2f6
C-R-EQUIPMGR-RM.d211.org,186472c77c86
C-R-GYMNASTICS-2.d211.org,186472c77d52
C-R-IDFE-MFACULTYBATHROOM.d211.org,186472c7d2c8
C-R-MACLAB.d211.org,186472ccc1fa
C-R-MAINOFFICE.d211.org,186472c722b8
C-R-MAINOFFICECONF.d211.org,186472c77d4c
C-R-MDF-MENS ROOM1.d211.org,186472c7f1b0
C-R-MEDIACONFERENCERM.d211.org,186472ccc294
C-R-MENSLOCKERRM1.d211.org,186472c722de
C-R-MENSLOCKERRM2.d211.org,186472c77ca6
C-R-MENSRM-WRESTLING.d211.org,186472c71962
C-R-MPROOMN.d211.org,186472c7d22a
C-R-MUSICRM1.d211.org,186472c7f1b4
C-R-MUSICRM2.d211.org,186472c7f216
C-R-NGYM-E.d211.org,186472c77dd0
C-R-NORTHGYM.d211.org,186472c77d1a
C-R-NURSESOFFICE.d211.org,186472c7f0ca
C-R-PRINCIPALCONF.d211.org,186472c722bc
C-R-REDTEAM.d211.org,186472c7d2bc
C-R-REDTEAMCONF.d211.org,186472c77da6
C-R-SPEDOFFICE.d211.org,186472c7216a
C-R-STORAGERM223.d211.org,186472c7f1cc
C-R-TEACHCAFE.d211.org,186472c7219e
C-R-TRAINRMN.d211.org,186472c72300
C-R-WHITETEAM.d211.org,186472c7d02a
C-R-WHITETEAMCONF.d211.org,186472c77ca8
C-R-WLOCKERRM1.d211.org,186472c7d2e6
C-R-WLOCKERRM2.d211.org,186472c7f070
C-R-WOMENSRM-WRESTLING.d211.org,186472c7ed96
C-R-WOMENSROOM212.d211.org,186472c7d2b2
C-R-WPELOCKER.d211.org,186472c72318
C-R-WRESTLINGRM1.d211.org,186472c74e96
C-R-WRESTLINGRM2.d211.org,186472c791d0
C-SW-IDFF-NW.d211.org,186472c74eea
C-TECHNOLOGY.d211.org,186472c72186
C-TECHSTORAGE.d211.org,186472c7f1ee
C-TEST2.d211.org,04bd88cce08c